Time,Battery voltage,Shunt voltage
3579,507.00,446.00,
4079,422.00,415.00,
4579,384.00,383.00,
5079,357.00,356.00,
5579,337.00,335.00,
6079,322.00,319.00,
6579,311.00,308.00,
7079,304.00,300.00,
7579,298.00,294.00,
8079,294.00,290.00,
8579,291.00,287.00,
9079,289.00,285.00,
9579,287.00,283.00,
10079,285.00,281.00,
10579,285.00,281.00,
11079,281.00,278.00,
11579,279.00,276.00,
12079,277.00,274.00,
12579,277.00,274.00,
13079,275.00,272.00,
13579,273.00,270.00,
14080,273.00,270.00,
14580,273.00,270.00,
15080,271.00,268.00,
15580,272.00,268.00,
16080,272.00,268.00,
16580,272.00,268.00,
17080,273.00,269.00,
17580,276.00,271.00,
18080,275.00,271.00,
18580,278.00,273.00,
19080,281.00,276.00,
19580,281.00,276.00,
20080,285.00,279.00,
20580,286.00,281.00,
21080,287.00,282.00,
21580,287.00,282.00,
22080,288.00,283.00,
22580,288.00,284.00,
23080,288.00,284.00,
23580,289.00,284.00,
24080,288.00,284.00,
24580,288.00,283.00,
25080,288.00,283.00,
25580,287.00,283.00,
26080,286.00,282.00,
26580,286.00,281.00,
27080,285.00,281.00,
27580,284.00,280.00,
28080,280.00,277.00,
